Array Size, Time Taken (nanoseconds)
3, 1800
4, 500
5, 400
6, 500
7, 600
8, 700
9, 800
10, 900
11, 900
12, 900
13, 1300
14, 1200
15, 1300
16, 1300
17, 16300
18, 2400
19, 2200
20, 2100
21, 2400
22, 2400
23, 2100
24, 2400
25, 2600
26, 2400
27, 2700
28, 2900
29, 3500
30, 3200
31, 3400
32, 3600
33, 3600
34, 3200
35, 3900
36, 3600
37, 4300
38, 3700
39, 4200
40, 4000
41, 3900
42, 3800
43, 3600
44, 3800
45, 3900
46, 3900
47, 4100
48, 4200
49, 4300
50, 4400
51, 4500
52, 4500
53, 4600
54, 5000
55, 4900
56, 5400
57, 5200
58, 5300
59, 5400
60, 6000
61, 5800
62, 5700
63, 5900
64, 6300
65, 6600
66, 7000
67, 6400
68, 6900
69, 6800
70, 6800
71, 7100
72, 7300
73, 7500
74, 7400
75, 7800
76, 7700
77, 8200
78, 7900
79, 8000
80, 8400
81, 9100
82, 9000
83, 8900
84, 9200
85, 8800
86, 8900
87, 9100
88, 10200
89, 10000
90, 10000
91, 10000
92, 10700
93, 10500
94, 10200
95, 10200
96, 11000
97, 11200
98, 11700
99, 11400
100, 11300
101, 11800
102, 12000
103, 12600
104, 12900
105, 12300
106, 11700
107, 12800
108, 12800
109, 12400
110, 12900
111, 13300
112, 13900
113, 13900
114, 14000
115, 13800
116, 14400
117, 14500
118, 14600
119, 14200
120, 14800
121, 15000
122, 15500
123, 15100
124, 15600
125, 15600
126, 15800
127, 16200
128, 15900
129, 16200
130, 16800
131, 16400
132, 17800
133, 20900
134, 19800
135, 22100
136, 17600
137, 17500
138, 18300
139, 17500
140, 17600
141, 18200
142, 18200
143, 18100
144, 18000
145, 18700
146, 19300
147, 19600
148, 19800
149, 20200
150, 19900
151, 20200
152, 20200
153, 20600
154, 21000
155, 20900
156, 20800
157, 21700
158, 21200
159, 21100
160, 21100
161, 22000
162, 21900
163, 21300
164, 22500
165, 22400
166, 21800
167, 22300
168, 22800
169, 23400
170, 23600
171, 23500
172, 23600
173, 22800
174, 23300
175, 23300
176, 23600
177, 23700
178, 23700
179, 24200
180, 24000
181, 24500
182, 28700
183, 23800
184, 24400
185, 24600
186, 24600
187, 24600
188, 25100
189, 24400
190, 24700
191, 24800
192, 25000
193, 25100
194, 25100
195, 25700
196, 25700
197, 25500
198, 25600
199, 26000
200, 25800
201, 25900
202, 26300
203, 25900
204, 26600
205, 26200
206, 25700
207, 26100
208, 26300
209, 26400
210, 26300
211, 26500
212, 27100
213, 26800
214, 26600
215, 26700
216, 27100
217, 30300
218, 32000
219, 27600
220, 28500
221, 27800
222, 27500
223, 28000
224, 27900
225, 28000
226, 28300
227, 28000
228, 28600
229, 27600
230, 28300
231, 28600
232, 28300
233, 28500
234, 28200
235, 28100
236, 29300
237, 28500
238, 28200
239, 28200
240, 28200
241, 28700
242, 28300
243, 28300
244, 28600
245, 28400
246, 27800
247, 28000
248, 28400
249, 29200
250, 28600
251, 28600
252, 32400
253, 35900
254, 29900
255, 28000
256, 28400
257, 28700
258, 28800
259, 28700
260, 29400
261, 29700
262, 29000
263, 28600
264, 28800
265, 29700
266, 29400
267, 29600
268, 29200
269, 30000
270, 29300
271, 29100
272, 28700
273, 30200
274, 29300
275, 29500
276, 29800
277, 29700
278, 29400
279, 29600
280, 30300
281, 30100
282, 30800
283, 30300
284, 30000
285, 29700
286, 30200
287, 29800
288, 30400
289, 29700
290, 30300
291, 30000
292, 30400
293, 29900
294, 29900
295, 30300
296, 30600
297, 30900
298, 30400
299, 30500
300, 30500
301, 30100
302, 30100
303, 30600
304, 30600
305, 30800
306, 30900
307, 30500
